post_id,comment_id,from_id,date,text
416545,416546,462341889,1571124019,Полезно
416545,416547,14483391,1571124180,Админ лось. Форсунка-это датчик?
416545,416552,84044733,1571127500,"На современных авто дмрв не используется, вместо него дад"
416545,416605,35314691,1571135870,"Не датчик, регулятор холостого хода так то ☝"
416545,417070,73348279,1571267523,3ууууууууууууууу
416545,417174,147853477,1571316588,А запчасти то автоваз☝😏
416545,417679,138814493,1571473520,Ещё бы не исправности добавили
416545,612161,61814898,1699505514,"Лямбда - это простой градусник, глупые😄"
416545,652798,330360973,1743446522,👍
416545,658270,601481282,1749572186,Гугл для лохов?
416545,662976,665398520,1755441956,
669704,669707,16529127,1763386390,Страшила пенсионерская
669704,669716,878900570,1763388609,👍
669704,669724,188092840,1763390703,Вааа 👍
669704,669725,580343472,1763391430,Идеален во всем ракурсе✊🏻
669671,669688,364109979,1763363637,
669671,669693,285380365,1763367932,
669668,669669,7358010,1763353156,"30 лет, они с 1995 пошли"
669668,669673,157953318,1763357046,Хлам
669668,669692,136337329,1763367741,руль перешили непростительно плохо
669667,669674,52529413,1763357074,Мееед))
669667,669675,52529413,1763357090,Мёёд))
669667,669705,113629193,1763382879,Объяснятель этот до первого поворота😏
669662,669663,1782407,1763325858,Клапана настраивает
669633,669635,891369538,1763294603,"Я бы и сейчас не отказался от такого 5.0 V8 Long даже в стоке,просто для покатушек в кайф"
669633,669637,339862634,1763302565,
669633,669655,21750337,1763308470,
669633,669660,634536234,1763316928,Кабан!!! V12 Самый крутой шестисотый !!!
669633,669664,108854419,1763330890,"Чувствовал бы себя если не более защищенным, но точно более превосходительственно в E38 750iL 😌"
669628,669632,663881749,1763290537,😁🚀🚀🚀🚀🚀🚀🍓
669621,669623,634536234,1763277108,"Приемника нет,с завода ставили Былину"
669621,669629,134523171,1763287640,24-10 только.
669621,669656,221506068,1763309688,Пленка на перчаточном ящике как всегда в пузырях
669621,669658,139460491,1763312034,У меня в коробке лежала былина. Но я ее не поставил. Другой маг воткнул. Роадстар)
669618,669624,835353884,1763277535,
669616,669622,223029282,1763276619,А ну если сзади бассейн тогда да)
669616,669626,330877701,1763280266,Смотрится как плохой фотошоп- вырезку не могли подтянуть
669594,669689,7358010,1763364234,Разборка по нашему и свалка по их мнению.
669586,669589,35739022,1763208813,Классика
669586,669661,21750337,1763317531,🔥 🔥 🔥
669586,669672,358149839,1763355253,
669584,669585,678173899,1763204306,
669584,669603,496619085,1763244703,Салон супер👍
669584,669703,831798165,1763376378,Классическая хулиганка ))
669581,669590,148865740,1763210725,Нехорошо вышло)))
669569,669570,23489096,1763182125,Тиз из СУПРАААААА😜
669569,669587,164586478,1763206026,И МАХ скачивать не надо.😂
669569,669591,606666009,1763210874,А90😁
669569,669597,29791772,1763226706,🤣🤣🤣🤣🤣🤣👍👍👍👍👍👍👍👍🤣🤣🤣🤣🤣🤣
669567,669601,259822289,1763235156,Красотка 😍
669564,669573,55362453,1763184279,А какие легенды по него ходят?
669564,669582,663881749,1763196778,Придумано админом для тревожности!😁‼️👌тревожный
669564,669583,229557612,1763200588,Какая грация
669552,669555,378068357,1763146886,Это секс а не машина кто понимает по настоящему что за Апарат
669552,669556,533322322,1763146952,
669552,669557,875385363,1763146981,Тяжёлый он очень
669552,669559,1043785574,1763151690,"Ну хз. Она весит как УАЗик. Чисто, для фанатов, боевиков и американских копов."
669552,669563,700966313,1763163255,"Пиздец, какой же он ахуительный."
669552,669568,60716373,1763181135,Что по ТТХ? Сколько $ стоит ?
669552,669571,55342325,1763182291,"На автору всего 5 по России продается, средняя цена 2.5"
669552,669631,771281466,1763290516,Супер
669547,669630,771281466,1763289586,Супер
669541,669562,1984436,1763159637,Блин я  S12....
669528,669592,7312832,1763222008,Игрушка
669518,669524,239305042,1763112611,... где то в параллельной вселенной.
669518,669565,574994923,1763171003,Так бы каждый год и по чаще!!!
669506,669508,1030422679,1763100417,"Буквально два соседних поста в ленте.  Они выпускались в одно время, только одни смогли, другие нет."
669506,669526,523331467,1763117273,"Кадры более развитой цивилизации, которая ушла навсегда"
669506,669665,205715163,1763339366,"А что там было собственно советского🧐 линии как видно французские, прокат использовали германский..только продукт"
669489,669490,645517198,1763090250,Колеса - ара -колхоз очередной.
669489,669492,310939220,1763093229,Утиль
669489,669496,537306083,1763098583,"Здравствуйте, я китайская компания. У нашей компании есть много заводов-поставщиков для сотрудничества. Есть тысячи продуктов, таких как одежда, обувь и носки, электронные изделия, технологические продукты, универмаги, печи, вентиляционные отверстия и т.д. Мы с нетерпением ждем возможности сотрудничать с вами. Пожалуйста, ответьте, если вам это нужно Ограниченный.https://www.ozon.ru/seller/bosaidong-2941907/?miniapp=seller_2941907"
669488,669493,448666072,1763093890,Убийца м3 и с36
669440,669527,429228726,1763118649,😍
669435,669554,647072439,1763146859,Настоящий шедевр мирового автопрома
669403,669445,442428747,1763044987,А что страшного то? 30к отдал и гоняешь года 4
669386,669465,565145903,1763054700,Вспоминаю как страшный сон!
669386,669476,372057765,1763058805,"..тоже думал, что шикарная, пока не прокатился на втором гольфе....."
669386,669478,177167896,1763059499,"Вообще-то ,ребята это память 90-хх,которыеЛИХИЕ были:21099,2109,бехи"",мерсы"",крузаки"""",шевы"",ламбы"",и т.д. и т.п.,если типа,да,а ЧЕ,А?"
669386,669538,21883175,1763126714,В каком месте 🤔
669386,669553,342866653,1763144007,Зубило- 99-я…
669363,669438,875385363,1763036199,Это сказка
669362,669634,339862634,1763292074,
669345,669347,198752179,1762974764,"На The Beast был установлен Rolls Royce Meteor, дефорсированная «танковая» версия «авиационного» Merlin без нагнетателя и со стальными деталями вместо алюминиевых. Два раза."
669345,669399,20945909,1763021745,"Крепления выпуска сделаны как в гараже... Где то шпилька торчит на 10 витков, где-то за под лицо, где то не пойми чем прикручено... Кустарно ужас"
669340,669350,665980120,1762979716,"""Ferrari для бедных""...  Впрочем, не таких уж и бедных! Верхушки среднего класса, так сказать... Для тех, кто ещё не заработал свой первый миллион, можно сказать! 💁"
669340,669360,458412170,1762985747,«ни посмотри»
669337,669346,27145072,1762970597,А пепелка не с плавным ходом там чтоль?
669332,669348,68203896,1762975892,Почему он ставит платное ожидание за 2 км от меня
669304,669305,98202561,1762936891,Чушь
669304,669322,67360661,1762950553,Один выезд 🤣🤣🤣
669304,669331,27052789,1762955710,Вместо приоры должен быть УАЗ патриот
669304,669336,706303867,1762960996,"Да приоры как-будто бы и ничего, гранты всегда гнилее."
669304,669343,221125133,1762968467,"Буханка , её было бы правильнее, они с завода уже со ржавчиной идут, настоящая чунчула для мазохистов"
669304,669364,40649755,1763003421,"А почему тут Приора, а не Субару или БМВ?"
669304,669377,273086325,1763011116,БМВ вообще большое мусорное ведро
669304,669437,879649784,1763034500,
669304,669444,538736098,1763044946,Пиздешь 2012 г.
669304,669485,21883175,1763066148,Приурна
669304,669494,17213926,1763094905,✊😎
669301,669307,637090496,1762940289,"Странно, что закончили на 93"
669292,669303,441932972,1762932056,"Да это самая простая Тестаросса. Самая неудачная модель во всём семействе. Быстро от её выпуска избавились. Проще забыть её, чем пытаться исправить косяки инженеров."
669292,669330,1984436,1762955625,"Версия для Японии, с левым рулём... Так себе они расстарались..."
669282,669283,22901054,1762880319,Шикарный автомобиль!
669282,669286,4324273,1762898325,Интерьер для колхозников..
669282,669290,7396048,1762913432,"Шкафы в автомобиле явно устарели, снять всё деревянное и нанести красивый рисунок с помощью аквапринта и будет вид значительно свежее."
669282,669326,58393045,1762952185,На Еву похож
669282,669397,92747755,1763021253,Волчок
669282,669479,177167896,1763060402,"Привет из девеностых,к/ф ""Жмурки"":Здорово,Кабан--Здорово-=Че вы.все стреляете?! А,ты ЧЕ? —А,щас не стреляют УЖЕ,щас ""бабки"" все решают,да я вам говорю,НЕ СТРЕЛЯЮТ БОЛЬШЕ! А,помнишь,как мы Завалихинских положили? —-Не, не стреляют больше,НЕ,.ДАВАЙТЕ ПАЦАНЫ!--Давай,КАБАН,ЧЕ!"
669282,669480,177167896,1763060545,"Памяти актера Юрия Степанова,сыгравшего роль""Кабана"" в к/ф ""Жмурки"" с Дмитрием Дюжевым и Андреем Паниным."
669270,669291,310939220,1762916496,С3+С4 = вечность
669270,669302,1019857539,1762931813,C3 легенда
669270,669545,860533298,1763134373,Скоро фары будут похожи на китайца с плохим зрением😁😁😁
669258,669274,80183254,1762875482,Высота крыла продиктована длиной крышки багажника
669250,669300,806745215,1762929800,Возле не менее знаменитой машины)
669245,669247,129957757,1762846812,
669200,669251,308094797,1762853178,
669188,669333,791629138,1762958116,"И по странному стечению обстоятельств, это BMW 850 M1"
669188,669636,380834997,1763298846,А сейчас в Китае за день столько тачек делают
669179,669187,113629193,1762782826,"..х@ета какая то,по моему,не🙄?"
669179,669194,180652892,1762789574,Вот это черталёт.😃
669179,669198,252260958,1762792580,"да пойдет,лишь бы хмурого в череп не колол"
669170,669190,11107673,1762786842,Может трех секционный роторный двигатель?
669170,669265,582199783,1762860742,"У серийной Опель калибра , которая вышла через пару лет к лет был коэффициент шишь на одну сотую хуже , чем у этой Мазды"
669155,669157,647072439,1762760469,"А что, чем не лайфхак)))"
669149,669152,891369538,1762758234,
669149,669153,891369538,1762758236,
669149,669172,22857880,1762770652,
669149,669197,186756057,1762792123,"Были два таких.. Один зелёный для внутреннего рынка, другой синий ,экспортный вариант... Так вот синий был поприятнее сделан... 👍 разница на первый взгляд не большая, но она чувствовалась..!!! Хорошая машинка....."
669149,669206,668222299,1762800973,Видимо два руля в комплекте было
669143,669221,133219954,1762837628,Эклипс лучше
669139,669183,51896026,1762781578,Пидарац спиздил с шестерки спыдометр
669129,669180,182562801,1762779455,А уведомление придет через 3 дня. Спасибо обсос услугам.
669129,669515,359020109,1763104728,"Власть уже в открытую говорит что всевозможные сборы нужно повышать, следовательно никаких оповещений не будет"
669129,669560,17761485,1763155409,"Оповещение типа: ""Хотите фокус? Следите за руками! Вот есть машина, а вот нет машины.Мы не делаем парковки, а Вы платите за эвакуатор. Все честно, все при деле. Хорошего дня"""
669122,669133,888726217,1762720682,"Подтверждаю ☝️ это действительно настоящий суперкар - легенда и мощь, настоящий американец 👍"
669122,669144,310939220,1762751833,А где все нытики-эксперты по машинам убийцам итп?)
669122,669207,565770955,1762803840,Мега аппарат! В детстве тащились!
669112,669204,299469818,1762798350,А бмв что там делает 😄
669112,669429,691449312,1763029392,Здесь нет БМВ
669106,669114,733274151,1762700444,Gangsta’s Paradise.
669093,669101,801156112,1762684464,Suzuki SX-90
669093,669121,9669824,1762709984,А он неплох 😁
669082,669092,26273706,1762676837,"Какого там Камри затесалась,испортила все только"
669069,669108,896629347,1762689232,Была у меня такая 1994г.в)  В обвесе SCHNITZER)))
669068,669077,109507183,1762670986,"Перебор с обвесом и хромом. Ну, опять же, это чисто моë субъективное мнение))) не более того"
669068,669078,109507183,1762671037,"А вот внутрянка классная, бесспорно!🫡"
669068,669105,496619085,1762686429,Кайфовый Правда на долю секунды  показалось что семерка вазовская😁
669068,669117,7396048,1762703468,Зачем так низко?
669068,669118,98969894,1762704235,Крутой ресмод
669068,669128,3313514,1762715018,Опять Мэнсори постарались ? 😂
669068,669150,107399288,1762755501,Шлак! 👎
669068,669156,310165469,1762759469,"Вот спойлер ни к селу, ни к городу!"
669068,669163,712673702,1762765430,Какой пиздец!
669068,669168,248565684,1762768728,Уродство
669068,669173,169953051,1762771761,Безобразие
669068,669174,330694810,1762772401,"Теперь знаю, как выглядит настоящий ""колхоз"""
669068,669177,412375280,1762774338,"Когда есть некий бюджет, а виденья нет. Пафосная кринжатина на мой взгляд"
669068,669193,161545006,1762788558,хорошая машина была(
669068,669199,87104204,1762792694,
669068,669202,132261349,1762795940,"Скамейка. На крышке багажника , скамейка. Это как розочка на рычаге КПП."
669068,669209,134254,1762804122,Хрень какая то
669068,669213,783988290,1762811330,Там по моему в башке у дизайнера тараканы шалят…не договорились друг с дружкой…
669068,669342,221125133,1762968275,сделали из машины урода
669064,669074,1681511,1762666236,Сервант какой то
669053,669142,358149839,1762742396,
669048,669100,1031696913,1762684288,"Был бы универсал,было бы вообще совершенство."
669048,669208,775611924,1762804069,Ураган.
669048,669327,52529413,1762952846,Вот это хороший аппарат))
669048,669463,522133791,1763053743,"B10 V8,вообще как то смотрится шильдик  Либо V8 оставить,Либо В10 Но опять же дело вкуса"
669048,669483,469063531,1763060981,Так много текста про обычную 5ку...ну ок двигатель мощный иии...всё...
669048,669576,402410249,1763185353,Мечта👍
669040,669073,310939220,1762665829,Пауль.он немец
669018,669059,1052542347,1762632774,"Закись то ему н..хуя? Там крутящий момент и так, бешеный."
669014,669451,1082621024,1763046574,Я даже знаю какое у тебя авто и этоооо БМВ
669007,669057,175767293,1762631573,"Так сложилось, слушаю только мнусовки арии, из этой игры"
669007,669065,27052789,1762640610,"Ска, как четко подмечено"
669007,669116,136337329,1762702084,как давно это было((
669005,669111,893851297,1762696375,Странный пипец
669005,669281,332638715,1762877955,Страшный
668989,669044,27979592,1762613331,Диски оригинальные надо вернуть.
668989,669141,358149839,1762742228,
668989,669361,96632066,1762990686,
668982,669497,842079373,1763098899,"Да и даже Америка не топ страна в плане автомобильной промышленности, но и там даже лучше чем в СССР"
668941,668946,35739022,1762504222,Эталон внедорожника!☝🏻
668938,668942,603159344,1762499252,Я сначало подумал гнилое днище про человека😁
668931,668994,305048021,1762546583,Культовый!☝️
668891,668904,12435918,1762459329,"Там и седьмой со скрипом влезает, а восьмой и девятый тогда в багажнике тусят?"
668891,668908,65280214,1762460679,В России категория «д» 🤣
668891,668910,116206548,1762461263,Весла с зади весь интерьер портят
668891,668912,496619085,1762462081,Семь Откуда девять?
668891,668926,205715163,1762476937,"Знаем такие лимузины, аэропортовое такси называется"
668891,668928,767403287,1762478915,Дровина
668891,668929,369093168,1762479010,У нас Ларгус такой делают. 😂
668891,668937,169009893,1762490160,"Сейчас палисад на 9 мест делают, так что не единственный"
668891,668939,647072439,1762490785,неплохо так)))
668891,668940,391306723,1762496074,Он даже новый как будто старый
668891,668944,1102927,1762503133,И на ручке
668891,668945,838258809,1762503156,Очен хорощий мащин) я тоже очен хочу себе такой мащин)))
668891,668962,825372418,1762529483,Маршрутка
668891,668966,720577727,1762531099,Ауди -100 разработка итальянской компанией!!!
668891,668971,1021836514,1762531836,👍
668891,668975,585617580,1762532244,"Кожа, рожа и весла! не комильфо!"
668891,668977,4013323,1762532583,Это админа 9 армян долбили и теперь он эту цифру везде применяет
668891,668998,6117591,1762552715,Я на такой езжу
668891,669000,373501975,1762558462,"Похожий и мерин есть, 6 дверей"
668891,669030,6170480,1762608214,Все сиденья складываются? 🤔
668891,669032,131828612,1762608600,Для многодетных семей👍
668891,669050,5739273,1762622569,На Кипре много мерседесов 6-дверных
668891,669052,84810216,1762623631,"мечтаю насчет Audi A8 D2 AVANT, хотел бы такую. Знаю про концепт Avantisimo, но он на D3 платформе был. А мне больше A8 D2 кузов нравится. 😩"
668891,669056,393870451,1762629289,Мечта белоруса
668891,669094,90483557,1762680696,У Опеля есть что то похожее
668891,669102,469357723,1762685587,Задние сиденья нужно было  установить как в электричке. Тогда две двери лишние и о....ый лимузин получится)))
668891,669138,1061186065,1762730248,Лимузин на вёслах. 🔥🔥
668891,669212,683038288,1762808470,Не у одного  меня оказывается ощущение пиздежа 🫵😁🤣
668891,669349,733295397,1762977518,Весла и на мешалке . Что на электрические стеклоподъемники и автомат денег не хватило?)
668891,669373,597073096,1763009021,Это просто реклама или продаешь ?
668891,669376,1879863,1763011012,Херня получилась
668891,669390,118026902,1763013835,"А чем это ""лимузин""-то?"
668891,669391,4698832,1763015654,
668891,669409,763133147,1763023950,"Наверно LONG , а не Lang"
668891,669436,1028385165,1763033985,Шикардос
668891,669442,225843508,1763040616,Long? Или Lang?
668891,669449,283524193,1763046383,А зачем
668891,669450,99548163,1763046552,"Сзади даже печечка маненькая есть ахахха  Понадобилось 30 лет чтоб и для пассажиров сзади доделать комфорт этот ""комфорт""  Но и того не все Кондей/печку/подогрев/зарядку ну и тд"
668891,669458,390111446,1763052212,Это же сколько картохи можно увезти 😄
668891,669464,266505,1763053851,"Дед мороз, я знаю что я хочу на новый год!😍😍😍"
668891,669546,317640529,1763134542,"Капец какой необычный. «Лимузин» универсал, на веслах, на ручке. Очень странная херня."
668891,669548,177763002,1763139842,И зачем???? Есть же! Т4:;Т5????
668891,669550,177763002,1763139908,"До лимузина тут далеко и долго, тогда А8....."
668891,669593,241523371,1763222440,Вещь 👍😎
668880,668903,13329719,1762457676,"Мне кажется если бы Volvo выпустили минивэн или микроавтобус, а лучше и то и другое, у других производителей не было бы шансов с ним конкурировать"
668880,668905,205715163,1762460257,"В последний путь тоже можно,гипотетически🙈"
668880,668917,593308434,1762462454,А потом викингов купили китайцы и всё закончилось
668878,668885,133219954,1762441789,"Фольцы вообще не нравятся,одна на другую все машины похожи"
668873,668892,193052238,1762449022,Прекрасна!!!
668873,668911,333454164,1762461399,Шикарная милфа!!!
668873,668949,331858026,1762509650,"Да, была когда-то такая же красотка. 12 лет вместе были..."
668873,668983,85894378,1762537114,Она идеальна
668873,668987,3880140,1762537350,"Даа, мало их осталось"
668873,669091,38691935,1762676780,"Не представляю, как левой рукой механику юзать"
668873,669099,864937381,1762683455,Мечта
668873,669189,186814171,1762786031,даже штанги не синие 😂😂😂
668873,669308,62178772,1762941285,Литье другое сюда напрашивается
668873,669353,220561440,1762982601,Даа весте до нее ещё лет двадцать выпускаться и так и будет тазом .
668873,669531,441900395,1763121604,Врум-врум
668873,669534,495127673,1763125034,Произведение искусства👌
668873,669558,507443765,1763151179,Класс
668873,669574,410167097,1763185095,Ну прям хорошенькая )) я на такой в GTA ездил
668873,669600,12325875,1763235000,Как же красиво
668865,668875,19375495,1762429570,"Хуже когда ты карту мойки оставил в терминале, и слинял, а если еще на ней бабки были🙈😁"
668846,668847,296116345,1762404962,Под рычаг Или деревяшечки подкладывать
668841,668951,507915428,1762511276,Vertex edition
668835,668872,310939220,1762425243,"Да ладно полюсы автобана,гоночные треки всего мира дрожали от неё в свое время..."
668816,668860,278983980,1762415717,Тестаросса 🔥
668816,669158,4501748,1762762774,Отличнейшааааая!!
668816,669271,1082550692,1762870041,
668809,669169,5081747,1762768747,"Первое мое авто w124. 3.2 sport line. 95г. Помню студентом копил год, работаю сутками чтобы взять эту зайку. 15 лет прошло , а как будто было вчера"
668809,669192,803633406,1762788037,124 красивый автомобиль
668809,669248,515838530,1762850131,
668809,669249,515838530,1762850181,
668782,668797,896629347,1762355559,3 кубка поршня 😀
668782,669131,489596103,1762717533,"Забудь про тормоза,газом работать надо...💪😉"
668744,668748,749280815,1762316167,А ведь были красивые бмв...раньше))
668744,668811,716286138,1762361152,"Лучшая 7-ка всех времён ! Субъективно , но ..."
668744,668822,68666528,1762373598,"Я вдругом посте как то писал , что 5ка(39) и 7ка(38), это автомобили культовые , где дизайн сочетается с надежностью, их строили инженеры , увы такого больше мы не увидим , сейчас времена маркетологов🤦‍♂️🤷‍♂️, и ещё одну легенду сюда надо обязательно отнести , это 850i(e31) …у меня всё🤝"
668744,669076,4426641,1762668861,А ржа под краской на багажнике??? Тоже лять оригинал???...
668744,669124,525386212,1762711772,Красотка👍
